Metric,Planned Value,Actual Value,Variance,Corrective Action
Milestone Achievement,80,70,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A443B00>,Revise project timeline
Milestone Achievement,90,85,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A443BA0>,Reallocate resources
Quality Control,80,92,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A443C40>,Adjust project scope
Task Completion Rate,80,80,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A443CE0>,Implement automation tools
Task Completion Rate,85,80,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A443D80>,Revise project timeline
Resource Allocation,100,70,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A443E20>,Revise project timeline
Task Completion Rate,95,100,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A443EC0>,Implement automation tools
Resource Allocation,95,70,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A443F60>,Implement automation tools
Milestone Achievement,80,92,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A454040>,Implement automation tools
Task Completion Rate,90,92,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A4540E0>,Reallocate resources
Quality Control,90,100,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A454180>,Adjust project scope
Resource Allocation,90,100,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A454220>,Implement automation tools
Quality Control,80,92,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A4542C0>,Reallocate resources
Milestone Achievement,100,80,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A454360>,Revise project timeline
Milestone Achievement,90,100,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A454400>,Implement automation tools
Task Completion Rate,95,80,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A4544A0>,Adjust project scope
Resource Allocation,90,80,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A454540>,Increase team collaboration
Resource Allocation,80,92,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A4545E0>,Adjust project scope
Task Completion Rate,100,92,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A454680>,Implement automation tools
Task Completion Rate,90,85,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A454720>,Reallocate resources
Milestone Achievement,80,92,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A4547C0>,Implement automation tools
Task Completion Rate,90,85,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A454860>,Implement automation tools
Budget Utilization,85,70,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A454900>,Adjust project scope
Task Completion Rate,95,85,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A4549A0>,Increase team collaboration
Quality Control,90,92,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A454A40>,Adjust project scope
Resource Allocation,90,100,<function generate_prompt_6_module_8.<locals>.<listcomp>.<lambda> at 0x000001D23A454AE0>,Revise project timeline
